Name	Season	Region	Games	Win rate	K:D	GPM	GDM	Game duration	Kills / game	Deaths / game	Towers killed	Towers lost	FB%	FT%	DRAPG	DRA%	VGPG	HERPG	HER%	DRA@15	TD@15	GD@15	PPG	NASHPG	NASH%	CSM	DPM	WPM	VWPM	WCPM
Crest Gaming Act	S9	JP	50	68.0%	1.58	1795	102	33:09	13.5	8.5	6.2	4.8	46.0	54.0	2.32	53.6	-	0.50	50.0	0.76	0.0	137	-	0.64	52.6	32.5	1799	3.7	1.15	1.45
Crvena Zvezda Esports	S9	EUW	9	22.2%	0.64	1709	-255	30:45	12.2	19.0	3.4	8.2	11.1	22.2	0.89	23.0	-	0.56	55.6	0.67	-0.6	-1509	-	0.44	37.5	30.3	1869	2.9	1.25	1.16
Cyberground Gaming	S9	IT	16	56.3%	1.19	1883	158	32:29	17.6	14.8	7.4	4.3	43.8	81.3	2.31	62.3	-	0.75	75.0	1.13	0.9	1716	-	0.50	53.6	31.7	2197	3.0	1.23	1.21
DAMWON Gaming	S9	KR	127	59.8%	1.13	1873	109	33:07	12.6	11.1	6.7	4.8	33.9	50.4	2.64	61.5	-	0.53	54.5	1.02	0.0	101	-	0.80	62.6	34.7	1796	3.8	1.45	1.79
Dark Passage	S9	TR	40	35.0%	0.86	1721	-112	31:48	10.5	12.1	4.9	7.2	42.5	40.0	1.58	37.5	-	0.38	39.5	0.55	-0.4	-1122	-	0.58	38.5	31.8	1639	3.2	1.14	1.22
DarkSpawn Gaming	S9	UK	8	12.5%	0.39	1526	-363	31:35	5.4	13.6	2.4	9.4	25.0	12.5	0.88	17.1	-	0.00	0.0	0.50	-1.1	-2496	-	0.25	8.3	29.5	1149	3.0	1.16	0.98
Dashing Buffalo	S9	VN	107	56.1%	1.16	1879	89	32:10	15.6	13.3	6.8	5.1	53.3	57.9	2.37	56.8	-	0.53	53.8	1.01	0.3	1146	-	0.81	55.6	33.6	1869	3.6	1.46	1.52
Defusekids	S9	EUW	6	33.3%	0.62	1682	-179	35:19	11.5	18.5	4.8	7.3	66.7	50.0	2.00	38.9	-	0.33	33.3	0.67	-0.7	-433	-	1.00	70.0	30.6	1680	3.5	1.36	1.37
Detonation FocusMe	S9	JP	59	81.4%	1.69	1860	235	32:24	13.9	8.2	7.9	3.2	54.2	66.1	2.68	67.5	-	0.46	50.0	1.05	0.5	934	-	0.88	77.1	32.0	1908	3.7	1.36	1.50
DeToNator	S9	SEA	18	44.4%	1.03	1867	11	31:07	17.4	16.9	5.6	6.4	44.4	50.0	1.72	43.9	-	0.56	55.6	0.89	0.1	772	-	0.67	47.2	31.1	2252	2.9	1.17	1.22
devils.one	S10	PL	68	57.4%	1.08	1811	66	32:47	12.6	11.7	6.5	5.1	51.5	54.4	1.94	48.3	-	0.56	55.9	0.65	0.1	148	-	0.78	58.6	32.5	1854	3.4	1.35	1.32
Diabolus Esports	S9	UK	27	63.0%	1.10	1804	44	33:11	13.8	12.5	6.9	5.3	44.4	55.6	2.67	65.2	-	0.59	59.3	1.00	-0.1	-620	-	0.78	60.1	31.6	1868	3.2	1.17	1.38
Dire Wolves	S9	OCE	46	30.4%	0.75	1720	-158	33:13	11.8	15.8	5.2	7.3	45.7	43.5	1.91	42.5	-	0.54	54.3	0.65	0.0	-364	-	0.63	31.2	31.0	1747	3.3	1.32	1.13
Dominus Esports	S9	CN	77	50.6%	0.98	1812	-14	32:22	12.1	12.3	6.2	5.9	28.6	28.6	2.31	50.8	-	-	-	-	-	-	-	0.70	51.2	32.9	1710	3.2	1.17	1.57
Doxa Gaming	S9	PT	14	64.3%	1.26	1849	169	31:56	13.4	10.6	6.9	4.4	71.4	64.3	2.50	63.6	-	0.57	57.1	0.79	0.3	1051	-	0.86	71.4	32.7	1704	2.8	0.84	1.13
Dragon Army	S9	CIS	28	35.7%	0.86	1780	7	32:06	12.9	15.0	5.1	6.2	57.1	71.4	1.86	47.7	-	0.61	63.0	0.89	0.9	1448	-	0.43	33.3	31.5	1906	3.1	1.19	1.34
Dragon Gate Team	S9	TW	33	21.2%	0.54	1709	-218	31:13	9.8	18.1	4.1	7.9	36.4	45.5	1.36	41.2	-	0.61	60.6	0.64	0.1	-680	-	0.30	18.5	31.6	1815	3.1	1.19	1.31
Dropz Esports	S9	IT	14	7.1%	0.48	1599	-388	29:26	8.9	18.6	2.4	9.3	28.6	21.4	1.21	28.0	-	0.36	35.7	0.64	-1.1	-3420	-	0.36	23.1	29.1	1425	2.8	1.05	1.10
E-Monkeyz Club	S9	ES	41	36.6%	0.75	1716	-113	32:34	10.3	13.8	4.7	7.4	34.1	39.0	2.15	46.3	-	0.37	36.6	0.83	-0.3	-972	-	0.59	41.7	31.2	1746	3.2	1.24	1.26
Echo Fox	S9	NA	40	32.5%	0.72	1718	-115	35:00	9.5	13.1	4.5	7.8	20.0	45.0	2.03	38.9	-	0.40	42.1	0.73	-0.2	-893	-	0.65	34.9	32.7	1740	3.1	1.09	1.41
Echo Fox Academy	S9	NA	49	46.9%	1.07	1792	-8	33:20	13.8	12.9	5.1	6.3	59.2	36.7	1.94	44.4	-	0.37	37.5	0.82	-0.4	-101	-	0.59	42.2	32.4	1917	3.1	1.12	1.34
Edward Gaming	S9	CN	83	56.6%	1.17	1830	72	32:45	13.0	11.1	6.4	5.4	26.5	24.1	2.49	59.1	-	-	-	-	-	-	-	0.63	49.6	32.5	1835	3.5	1.35	1.66
Electronik Generation	S9	PT	35	68.6%	1.27	1825	133	32:30	15.4	12.1	7.5	4.4	51.4	54.3	2.43	62.9	-	0.71	71.4	0.86	0.1	525	-	0.89	67.2	31.1	1852	3.1	1.30	1.04
Elements Pro Gaming	S9	CIS	39	66.7%	1.34	1830	141	30:49	14.7	10.9	6.3	4.1	53.8	48.7	2.00	55.0	-	0.59	59.0	0.85	0.2	678	-	0.64	61.8	31.8	1973	3.1	1.23	1.33
Enclave Gaming	S9	UK	11	36.4%	0.82	1726	-110	32:51	10.8	13.3	5.4	7.2	81.8	54.5	1.82	42.0	-	0.64	63.6	0.64	0.0	532	-	0.64	40.9	31.8	1692	2.8	1.12	1.27
eNsure	S9	EUW	6	0.0%	0.36	1567	-543	27:12	6.8	19.2	1.0	9.8	-	-	0.50	26.4	-	0.17	16.7	0.33	-2.3	-5081	-	0.17	20.0	30.2	1474	2.8	1.09	1.07
